tour,prix_propose,prix_plancher,budget_client,marge_actuelle,marge_pct,reaction_client,action_agent,reward,deal_conclu,popularite_dest,saison,phase,negociation_id,destination,nb_personnes
7,2790,3060,2539,-270,-9.68,trop_cher,retirer_excursion,-8.5,False,0.82,basse,2,11,Thailande,1
8,2790,3060,2539,-270,-9.68,trop_cher,retirer_assurance,-9.0,False,0.82,basse,2,11,Thailande,1
9,2790,3060,2539,-270,-9.68,trop_cher,refuser_negociation,-9.5,False,0.82,basse,3,11,Thailande,1
1,4800,4080,4968,720,15.0,accepte,aucune,12.5,True,0.85,moyenne,1,12,"Dubai, EAU",4
1,3220,2737,3271,483,15.0,accepte,aucune,12.5,True,0.8,haute,1,13,"Istanbul, Turquie",2
1,2394,2142,2137,252,10.53,trop_cher,reduire_5_pct,-5.5,False,0.8,basse,1,14,"Istanbul, Turquie",3
2,2274,2142,2137,132,5.8,trop_cher,reduire_5_pct,-6.0,False,0.8,basse,1,14,"Istanbul, Turquie",3
3,2274,2142,2137,132,5.8,accepte,aucune,6.5,True,0.8,basse,1,14,"Istanbul, Turquie",3
1,2949,2638,2885,311,10.55,trop_cher,reduire_5_pct,-5.5,False,0.9,haute,1,15,"Paris, France",3
2,2949,2638,2885,311,10.55,accepte,aucune,12.0,True,0.9,haute,1,15,"Paris, France",3
1,4500,3825,5340,675,15.0,accepte,aucune,12.5,True,0.95,moyenne,1,16,"La Mecque, Arabie Saoudite",2
1,4000,3400,3928,600,15.0,accepte,aucune,12.5,True,0.82,moyenne,1,17,Thailande,4
1,2660,2380,2037,280,10.53,trop_cher,reduire_5_pct,-5.5,False,0.8,moyenne,1,18,"Istanbul, Turquie",2
2,2527,2380,2037,147,5.82,trop_cher,reduire_5_pct,-6.0,False,0.8,moyenne,1,18,"Istanbul, Turquie",2
3,2401,2380,2037,21,0.87,trop_cher,reduire_5_pct,-6.5,False,0.8,moyenne,1,18,"Istanbul, Turquie",2
4,2380,2380,2037,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.8,moyenne,2,18,"Istanbul, Turquie",2
5,2200,2380,2037,-180,-8.18,trop_cher,proposer_hotels,-7.5,False,0.8,moyenne,2,18,"Istanbul, Turquie",2
6,2200,2380,2037,-180,-8.18,trop_cher,proposer_transport,-8.0,False,0.8,moyenne,2,18,"Istanbul, Turquie",2
7,2200,2380,2037,-180,-8.18,trop_cher,retirer_excursion,-8.5,False,0.8,moyenne,2,18,"Istanbul, Turquie",2
8,2200,2380,2037,-180,-8.18,trop_cher,retirer_assurance,-9.0,False,0.8,moyenne,2,18,"Istanbul, Turquie",2
9,2200,2380,2037,-180,-8.18,trop_cher,refuser_negociation,-9.5,False,0.8,moyenne,3,18,"Istanbul, Turquie",2
1,2137,1912,1611,225,10.53,trop_cher,reduire_5_pct,-5.5,False,0.75,basse,1,19,"Marrakech, Maroc",1
2,2030,1912,1611,118,5.81,trop_cher,reduire_5_pct,-6.0,False,0.75,basse,1,19,"Marrakech, Maroc",1
3,1928,1912,1611,16,0.83,trop_cher,reduire_5_pct,-6.5,False,0.75,basse,1,19,"Marrakech, Maroc",1
4,1912,1912,1611,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.75,basse,2,19,"Marrakech, Maroc",1
5,1759,1912,1611,-153,-8.7,trop_cher,proposer_hotels,-7.5,False,0.75,basse,2,19,"Marrakech, Maroc",1
6,1710,1912,1611,-202,-11.81,trop_cher,proposer_transport,-8.0,False,0.75,basse,2,19,"Marrakech, Maroc",1
7,1710,1912,1611,-202,-11.81,trop_cher,retirer_excursion,-8.5,False,0.75,basse,2,19,"Marrakech, Maroc",1
8,1710,1912,1611,-202,-11.81,trop_cher,retirer_assurance,-9.0,False,0.75,basse,2,19,"Marrakech, Maroc",1
9,1710,1912,1611,-202,-11.81,trop_cher,refuser_negociation,-9.5,False,0.75,basse,3,19,"Marrakech, Maroc",1
1,2874,2443,3141,431,15.0,accepte,aucune,12.5,True,0.75,haute,1,20,"Marrakech, Maroc",3
1,3800,3400,3403,400,10.53,trop_cher,reduire_5_pct,-5.5,False,0.82,moyenne,1,21,Thailande,4
2,3610,3400,3403,210,5.82,trop_cher,reduire_5_pct,-6.0,False,0.82,moyenne,1,21,Thailande,4
3,3610,3400,3403,210,5.82,accepte,aucune,6.5,True,0.82,moyenne,1,21,Thailande,4
1,2308,2065,1889,243,10.53,trop_cher,reduire_5_pct,-5.5,False,0.9,basse,1,22,"Paris, France",4
2,2193,2065,1889,128,5.84,trop_cher,reduire_5_pct,-6.0,False,0.9,basse,1,22,"Paris, France",4
3,2083,2065,1889,18,0.86,trop_cher,reduire_5_pct,-6.5,False,0.9,basse,1,22,"Paris, France",4
4,2065,2065,1889,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.9,basse,2,22,"Paris, France",4
5,1900,2065,1889,-165,-8.68,trop_cher,proposer_hotels,-7.5,False,0.9,basse,2,22,"Paris, France",4
6,1900,2065,1889,-165,-8.68,accepte,aucune,-2.0,True,0.9,basse,1,22,"Paris, France",4
1,3848,3442,3685,406,10.55,trop_cher,reduire_5_pct,-5.5,False,0.95,basse,1,23,"La Mecque, Arabie Saoudite",2
2,3656,3442,3685,214,5.85,trop_cher,reduire_5_pct,-6.0,False,0.95,basse,1,23,"La Mecque, Arabie Saoudite",2
3,3656,3442,3685,214,5.85,accepte,aucune,6.5,True,0.95,basse,1,23,"La Mecque, Arabie Saoudite",2
1,2564,2294,2160,270,10.53,trop_cher,reduire_5_pct,-5.5,False,0.9,moyenne,1,24,"Paris, France",1
2,2436,2294,2160,142,5.83,trop_cher,reduire_5_pct,-6.0,False,0.9,moyenne,1,24,"Paris, France",1
3,2314,2294,2160,20,0.86,trop_cher,reduire_5_pct,-6.5,False,0.9,moyenne,1,24,"Paris, France",1
4,2294,2294,2160,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.9,moyenne,2,24,"Paris, France",1
5,2110,2294,2160,-184,-8.72,trop_cher,proposer_hotels,-7.5,False,0.9,moyenne,2,24,"Paris, France",1
6,2110,2294,2160,-184,-8.72,accepte,aucune,-2.0,True,0.9,moyenne,1,24,"Paris, France",1
1,4600,3910,5515,690,15.0,accepte,aucune,12.5,True,0.82,haute,1,25,Thailande,2
1,3800,3400,2703,400,10.53,trop_cher,reduire_5_pct,-5.5,False,0.82,moyenne,1,26,Thailande,2
2,3610,3400,2703,210,5.82,trop_cher,reduire_5_pct,-6.0,False,0.82,moyenne,1,26,Thailande,2
3,3430,3400,2703,30,0.87,trop_cher,reduire_5_pct,-6.5,False,0.82,moyenne,1,26,Thailande,2
4,3400,3400,2703,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.82,moyenne,2,26,Thailande,2
5,3128,3400,2703,-272,-8.7,trop_cher,proposer_hotels,-7.5,False,0.82,moyenne,2,26,Thailande,2
6,3100,3400,2703,-300,-9.68,trop_cher,proposer_transport,-8.0,False,0.82,moyenne,2,26,Thailande,2
7,3100,3400,2703,-300,-9.68,trop_cher,retirer_excursion,-8.5,False,0.82,moyenne,2,26,Thailande,2
8,3100,3400,2703,-300,-9.68,trop_cher,retirer_assurance,-9.0,False,0.82,moyenne,2,26,Thailande,2
9,3100,3400,2703,-300,-9.68,trop_cher,refuser_negociation,-9.5,False,0.82,moyenne,3,26,Thailande,2
1,2520,2142,2542,378,15.0,accepte,aucune,12.5,True,0.8,basse,1,27,"Istanbul, Turquie",1
1,2249,1912,2372,337,14.98,accepte,aucune,12.5,True,0.75,basse,1,28,"Marrakech, Maroc",3
1,2520,2142,2544,378,15.0,accepte,aucune,12.5,True,0.78,basse,1,29,"Rome, Italie",2
1,3848,3442,3404,406,10.55,trop_cher,reduire_5_pct,-5.5,False,0.95,basse,1,30,"La Mecque, Arabie Saoudite",2
2,3656,3442,3404,214,5.85,trop_cher,reduire_5_pct,-6.0,False,0.95,basse,1,30,"La Mecque, Arabie Saoudite",2
3,3473,3442,3404,31,0.89,trop_cher,reduire_5_pct,-6.5,False,0.95,basse,1,30,"La Mecque, Arabie Saoudite",2
4,3473,3442,3404,31,0.89,accepte,aucune,3.0,True,0.95,basse,1,30,"La Mecque, Arabie Saoudite",2
1,2660,2380,1995,280,10.53,trop_cher,reduire_5_pct,-5.5,False,0.8,moyenne,1,31,"Istanbul, Turquie",2
2,2527,2380,1995,147,5.82,trop_cher,reduire_5_pct,-6.0,False,0.8,moyenne,1,31,"Istanbul, Turquie",2
3,2401,2380,1995,21,0.87,trop_cher,reduire_5_pct,-6.5,False,0.8,moyenne,1,31,"Istanbul, Turquie",2
4,2380,2380,1995,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.8,moyenne,2,31,"Istanbul, Turquie",2
5,2200,2380,1995,-180,-8.18,trop_cher,proposer_hotels,-7.5,False,0.8,moyenne,2,31,"Istanbul, Turquie",2
6,2200,2380,1995,-180,-8.18,trop_cher,proposer_transport,-8.0,False,0.8,moyenne,2,31,"Istanbul, Turquie",2
7,2200,2380,1995,-180,-8.18,trop_cher,retirer_excursion,-8.5,False,0.8,moyenne,2,31,"Istanbul, Turquie",2
8,2200,2380,1995,-180,-8.18,trop_cher,retirer_assurance,-9.0,False,0.8,moyenne,2,31,"Istanbul, Turquie",2
9,2200,2380,1995,-180,-8.18,trop_cher,refuser_negociation,-9.5,False,0.8,moyenne,3,31,"Istanbul, Turquie",2
1,2520,2142,2492,378,15.0,accepte,aucune,12.5,True,0.8,basse,1,32,"Istanbul, Turquie",2
1,2499,2124,2907,375,15.01,accepte,aucune,12.5,True,0.75,moyenne,1,33,"Marrakech, Maroc",4
1,4050,3442,4687,608,15.01,accepte,aucune,12.5,True,0.95,basse,1,34,"La Mecque, Arabie Saoudite",4
1,2520,2142,2496,378,15.0,accepte,aucune,12.5,True,0.78,basse,1,35,"Rome, Italie",4
1,2351,2104,2269,247,10.51,trop_cher,reduire_5_pct,-5.5,False,0.76,basse,1,36,"Barcelone, Espagne",3
2,2351,2104,2269,247,10.51,accepte,aucune,12.0,True,0.76,basse,1,36,"Barcelone, Espagne",3
1,2660,2380,1903,280,10.53,trop_cher,reduire_5_pct,-5.5,False,0.78,moyenne,1,37,"Rome, Italie",3
2,2527,2380,1903,147,5.82,trop_cher,reduire_5_pct,-6.0,False,0.78,moyenne,1,37,"Rome, Italie",3
3,2401,2380,1903,21,0.87,trop_cher,reduire_5_pct,-6.5,False,0.78,moyenne,1,37,"Rome, Italie",3
4,2380,2380,1903,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.78,moyenne,2,37,"Rome, Italie",3
5,2200,2380,1903,-180,-8.18,trop_cher,proposer_hotels,-7.5,False,0.78,moyenne,2,37,"Rome, Italie",3
6,2200,2380,1903,-180,-8.18,trop_cher,proposer_transport,-8.0,False,0.78,moyenne,2,37,"Rome, Italie",3
7,2200,2380,1903,-180,-8.18,trop_cher,retirer_excursion,-8.5,False,0.78,moyenne,2,37,"Rome, Italie",3
8,2200,2380,1903,-180,-8.18,trop_cher,retirer_assurance,-9.0,False,0.78,moyenne,2,37,"Rome, Italie",3
9,2200,2380,1903,-180,-8.18,trop_cher,refuser_negociation,-9.5,False,0.78,moyenne,3,37,"Rome, Italie",3
1,2750,2338,2775,412,14.98,accepte,aucune,12.5,True,0.76,moyenne,1,38,"Barcelone, Espagne",3
1,2800,2380,2893,420,15.0,accepte,aucune,12.5,True,0.8,moyenne,1,39,"Istanbul, Turquie",2
1,2730,2443,2619,287,10.51,trop_cher,reduire_5_pct,-5.5,False,0.75,haute,1,40,"Marrakech, Maroc",2
2,2594,2443,2619,151,5.82,trop_cher,reduire_5_pct,-6.0,False,0.75,haute,1,40,"Marrakech, Maroc",2
3,2594,2443,2619,151,5.82,accepte,aucune,6.5,True,0.75,haute,1,40,"Marrakech, Maroc",2
1,3800,3400,3404,400,10.53,trop_cher,reduire_5_pct,-5.5,False,0.82,moyenne,1,41,Thailande,2
2,3610,3400,3404,210,5.82,trop_cher,reduire_5_pct,-6.0,False,0.82,moyenne,1,41,Thailande,2
3,3430,3400,3404,30,0.87,trop_cher,reduire_5_pct,-6.5,False,0.82,moyenne,1,41,Thailande,2
4,3430,3400,3404,30,0.87,accepte,aucune,3.0,True,0.82,moyenne,1,41,Thailande,2
1,3220,2737,3738,483,15.0,accepte,aucune,12.5,True,0.78,haute,1,42,"Rome, Italie",4
1,2564,2294,2551,270,10.53,trop_cher,reduire_5_pct,-5.5,False,0.9,moyenne,1,43,"Paris, France",1
2,2564,2294,2551,270,10.53,accepte,aucune,12.0,True,0.9,moyenne,1,43,"Paris, France",1
1,3220,2737,3471,483,15.0,accepte,aucune,12.5,True,0.78,haute,1,44,"Rome, Italie",4
1,2730,2443,2311,287,10.51,trop_cher,reduire_5_pct,-5.5,False,0.75,haute,1,45,"Marrakech, Maroc",2
2,2594,2443,2311,151,5.82,trop_cher,reduire_5_pct,-6.0,False,0.75,haute,1,45,"Marrakech, Maroc",2
3,2464,2443,2311,21,0.85,trop_cher,reduire_5_pct,-6.5,False,0.75,haute,1,45,"Marrakech, Maroc",2
4,2443,2443,2311,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.75,haute,2,45,"Marrakech, Maroc",2
5,2248,2443,2311,-195,-8.67,trop_cher,proposer_hotels,-7.5,False,0.75,haute,2,45,"Marrakech, Maroc",2
6,2248,2443,2311,-195,-8.67,accepte,aucune,-2.0,True,0.75,haute,1,45,"Marrakech, Maroc",2
1,2520,2142,2847,378,15.0,accepte,aucune,12.5,True,0.78,basse,1,46,"Rome, Italie",3
1,4916,4399,3863,517,10.52,trop_cher,reduire_5_pct,-5.5,False,0.95,haute,1,47,"La Mecque, Arabie Saoudite",4
2,4670,4399,3863,271,5.8,trop_cher,reduire_5_pct,-6.0,False,0.95,haute,1,47,"La Mecque, Arabie Saoudite",4
3,4436,4399,3863,37,0.83,trop_cher,reduire_5_pct,-6.5,False,0.95,haute,1,47,"La Mecque, Arabie Saoudite",4
4,4399,4399,3863,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.95,haute,2,47,"La Mecque, Arabie Saoudite",4
5,4047,4399,3863,-352,-8.7,trop_cher,proposer_hotels,-7.5,False,0.95,haute,2,47,"La Mecque, Arabie Saoudite",4
6,4047,4399,3863,-352,-8.7,accepte,aucune,-2.0,True,0.95,haute,1,47,"La Mecque, Arabie Saoudite",4
1,3848,3442,2923,406,10.55,trop_cher,reduire_5_pct,-5.5,False,0.95,basse,1,48,"La Mecque, Arabie Saoudite",2
2,3656,3442,2923,214,5.85,trop_cher,reduire_5_pct,-6.0,False,0.95,basse,1,48,"La Mecque, Arabie Saoudite",2
3,3473,3442,2923,31,0.89,trop_cher,reduire_5_pct,-6.5,False,0.95,basse,1,48,"La Mecque, Arabie Saoudite",2
4,3442,3442,2923,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.95,basse,2,48,"La Mecque, Arabie Saoudite",2
5,3167,3442,2923,-275,-8.68,trop_cher,proposer_hotels,-7.5,False,0.95,basse,2,48,"La Mecque, Arabie Saoudite",2
6,3150,3442,2923,-292,-9.27,trop_cher,proposer_transport,-8.0,False,0.95,basse,2,48,"La Mecque, Arabie Saoudite",2
7,3150,3442,2923,-292,-9.27,trop_cher,retirer_excursion,-8.5,False,0.95,basse,2,48,"La Mecque, Arabie Saoudite",2
8,3150,3442,2923,-292,-9.27,trop_cher,retirer_assurance,-9.0,False,0.95,basse,2,48,"La Mecque, Arabie Saoudite",2
9,3150,3442,2923,-292,-9.27,trop_cher,refuser_negociation,-9.5,False,0.95,basse,3,48,"La Mecque, Arabie Saoudite",2
1,4320,3672,4466,648,15.0,accepte,aucune,12.5,True,0.85,basse,1,49,"Dubai, EAU",2
1,2499,2124,2466,375,15.01,accepte,aucune,12.5,True,0.75,moyenne,1,50,"Marrakech, Maroc",4
1,4370,3910,3874,460,10.53,trop_cher,reduire_5_pct,-5.5,False,0.82,haute,1,51,Thailande,3
2,4152,3910,3874,242,5.83,trop_cher,reduire_5_pct,-6.0,False,0.82,haute,1,51,Thailande,3
3,3944,3910,3874,34,0.86,trop_cher,reduire_5_pct,-6.5,False,0.82,haute,1,51,Thailande,3
4,3944,3910,3874,34,0.86,accepte,aucune,3.0,True,0.82,haute,1,51,Thailande,3
1,2949,2638,2773,311,10.55,trop_cher,reduire_5_pct,-5.5,False,0.9,haute,1,52,"Paris, France",4
2,2802,2638,2773,164,5.85,trop_cher,reduire_5_pct,-6.0,False,0.9,haute,1,52,"Paris, France",4
3,2802,2638,2773,164,5.85,accepte,aucune,6.5,True,0.9,haute,1,52,"Paris, France",4
1,5520,4692,6607,828,15.0,accepte,aucune,12.5,True,0.85,haute,1,53,"Dubai, EAU",2
1,3800,3400,3691,400,10.53,trop_cher,reduire_5_pct,-5.5,False,0.82,moyenne,1,54,Thailande,3
2,3800,3400,3691,400,10.53,accepte,aucune,12.0,True,0.82,moyenne,1,54,Thailande,3
1,4000,3400,4077,600,15.0,accepte,aucune,12.5,True,0.82,moyenne,1,55,Thailande,2
1,3800,3400,3466,400,10.53,trop_cher,reduire_5_pct,-5.5,False,0.82,moyenne,1,56,Thailande,4
2,3610,3400,3466,210,5.82,trop_cher,reduire_5_pct,-6.0,False,0.82,moyenne,1,56,Thailande,4
3,3610,3400,3466,210,5.82,accepte,aucune,6.5,True,0.82,moyenne,1,56,Thailande,4
1,4560,4080,3433,480,10.53,trop_cher,reduire_5_pct,-5.5,False,0.85,moyenne,1,57,"Dubai, EAU",2
2,4332,4080,3433,252,5.82,trop_cher,reduire_5_pct,-6.0,False,0.85,moyenne,1,57,"Dubai, EAU",2
3,4115,4080,3433,35,0.85,trop_cher,reduire_5_pct,-6.5,False,0.85,moyenne,1,57,"Dubai, EAU",2
4,4080,4080,3433,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.85,moyenne,2,57,"Dubai, EAU",2
5,3800,4080,3433,-280,-7.37,trop_cher,proposer_hotels,-7.5,False,0.85,moyenne,2,57,"Dubai, EAU",2
6,3800,4080,3433,-280,-7.37,trop_cher,proposer_transport,-8.0,False,0.85,moyenne,2,57,"Dubai, EAU",2
7,3800,4080,3433,-280,-7.37,trop_cher,retirer_excursion,-8.5,False,0.85,moyenne,2,57,"Dubai, EAU",2
8,3800,4080,3433,-280,-7.37,trop_cher,retirer_assurance,-9.0,False,0.85,moyenne,2,57,"Dubai, EAU",2
9,3800,4080,3433,-280,-7.37,trop_cher,refuser_negociation,-9.5,False,0.85,moyenne,3,57,"Dubai, EAU",2
1,2949,2638,2897,311,10.55,trop_cher,reduire_5_pct,-5.5,False,0.9,haute,1,58,"Paris, France",4
2,2949,2638,2897,311,10.55,accepte,aucune,12.0,True,0.9,haute,1,58,"Paris, France",4
1,3004,2688,2646,316,10.52,trop_cher,reduire_5_pct,-5.5,False,0.76,haute,1,59,"Barcelone, Espagne",3
2,2854,2688,2646,166,5.82,trop_cher,reduire_5_pct,-6.0,False,0.76,haute,1,59,"Barcelone, Espagne",3
3,2711,2688,2646,23,0.85,trop_cher,reduire_5_pct,-6.5,False,0.76,haute,1,59,"Barcelone, Espagne",3
4,2688,2688,2646,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.76,haute,2,59,"Barcelone, Espagne",3
5,2688,2688,2646,0,0.0,accepte,aucune,2.5,True,0.76,haute,1,59,"Barcelone, Espagne",3
1,3162,2688,3779,474,14.99,accepte,aucune,12.5,True,0.76,haute,1,60,"Barcelone, Espagne",4
1,2351,2104,2099,247,10.51,trop_cher,reduire_5_pct,-5.5,False,0.76,basse,1,61,"Barcelone, Espagne",3
2,2233,2104,2099,129,5.78,trop_cher,reduire_5_pct,-6.0,False,0.76,basse,1,61,"Barcelone, Espagne",3
3,2121,2104,2099,17,0.8,trop_cher,reduire_5_pct,-6.5,False,0.76,basse,1,61,"Barcelone, Espagne",3
4,2121,2104,2099,17,0.8,accepte,aucune,3.0,True,0.76,basse,1,61,"Barcelone, Espagne",3
1,2874,2443,3003,431,15.0,accepte,aucune,12.5,True,0.75,haute,1,62,"Marrakech, Maroc",2
1,3004,2688,2588,316,10.52,trop_cher,reduire_5_pct,-5.5,False,0.76,haute,1,63,"Barcelone, Espagne",2
2,2854,2688,2588,166,5.82,trop_cher,reduire_5_pct,-6.0,False,0.76,haute,1,63,"Barcelone, Espagne",2
3,2711,2688,2588,23,0.85,trop_cher,reduire_5_pct,-6.5,False,0.76,haute,1,63,"Barcelone, Espagne",2
4,2711,2688,2588,23,0.85,accepte,aucune,3.0,True,0.76,haute,1,63,"Barcelone, Espagne",2
1,2564,2294,1801,270,10.53,trop_cher,reduire_5_pct,-5.5,False,0.9,moyenne,1,64,"Paris, France",4
2,2436,2294,1801,142,5.83,trop_cher,reduire_5_pct,-6.0,False,0.9,moyenne,1,64,"Paris, France",4
3,2314,2294,1801,20,0.86,trop_cher,reduire_5_pct,-6.5,False,0.9,moyenne,1,64,"Paris, France",4
4,2294,2294,1801,0,0.0,trop_cher,reduire_5_pct,-7.0,False,0.9,moyenne,2,64,"Paris, France",4
5,2110,2294,1801,-184,-8.72,trop_cher,proposer_hotels,-7.5,False,0.9,moyenne,2,64,"Paris, France",4
6,2100,2294,1801,-194,-9.24,trop_cher,proposer_transport,-8.0,False,0.9,moyenne,2,64,"Paris, France",4
7,2100,2294,1801,-194,-9.24,trop_cher,retirer_excursion,-8.5,False,0.9,moyenne,2,64,"Paris, France",4
8,2100,2294,1801,-194,-9.24,trop_cher,retirer_assurance,-9.0,False,0.9,moyenne,2,64,"Paris, France",4
9,2100,2294,1801,-194,-9.24,trop_cher,refuser_negociation,-9.5,False,0.9,moyenne,3,64,"Paris, France",4
1,4560,4080,3264,480,10.53,trop_cher,reduire_5_pct,-5.5,False,0.85,moyenne,1,65,"Dubai, EAU",4
2,4332,4080,3264,252,5.82,trop_cher,reduire_5_pct,-6.0,False,0.85,moyenne,1,65,"Dubai, EAU",4
